title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,availableCountries
American Beauty,movie,Drama,1999-01-01,tt0169547,8.3,1240541.0,Unknown
The Fifth Element,movie,Action,1997-01-01,tt0119116,7.6,522460.0,Unknown
The Fifth Element,movie, Adventure,1997-01-01,tt0119116,7.6,522460.0,Unknown
The Fifth Element,movie, Sci-Fi,1997-01-01,tt0119116,7.6,522460.0,Unknown
Kill Bill: Vol. 1,movie,Action,2003-01-01,tt0266697,8.2,1237978.0,Unknown
Kill Bill: Vol. 1,movie, Crime,2003-01-01,tt0266697,8.2,1237978.0,Unknown
Kill Bill: Vol. 1,movie, Thriller,2003-01-01,tt0266697,8.2,1237978.0,Unknown
Jarhead,movie,Biography,2005-01-01,tt0418763,7.0,213885.0,Unknown
Jarhead,movie, Drama,2005-01-01,tt0418763,7.0,213885.0,Unknown
Jarhead,movie, War,2005-01-01,tt0418763,7.0,213885.0,Unknown
Unforgiven,movie,Drama,1992-01-01,tt0105695,8.2,449361.0,Unknown
Unforgiven,movie, Western,1992-01-01,tt0105695,8.2,449361.0,Unknown
Eternal Sunshine of the Spotless Mind,movie,Drama,2004-01-01,tt0338013,8.3,1124191.0,Unknown
Eternal Sunshine of the Spotless Mind,movie, Romance,2004-01-01,tt0338013,8.3,1124191.0,Unknown
Eternal Sunshine of the Spotless Mind,movie, Sci-Fi,2004-01-01,tt0338013,8.3,1124191.0,Unknown
Amores Perros,movie,Drama,2000-01-01,tt0245712,8.0,258992.0,Unknown
Amores Perros,movie, Thriller,2000-01-01,tt0245712,8.0,258992.0,Unknown
A History of Violence,movie,Action,2005-01-01,tt0399146,7.4,261993.0,Unknown
A History of Violence,movie, Crime,2005-01-01,tt0399146,7.4,261993.0,Unknown
A History of Violence,movie, Drama,2005-01-01,tt0399146,7.4,261993.0,Unknown
Talk to Her,movie,Drama,2002-01-01,tt0287467,7.9,119528.0,Unknown
Talk to Her,movie, Mystery,2002-01-01,tt0287467,7.9,119528.0,Unknown
Talk to Her,movie, Romance,2002-01-01,tt0287467,7.9,119528.0,Unknown
8 Mile,movie,Drama,2002-01-01,tt0298203,7.2,334484.0,Unknown
8 Mile,movie, Music,2002-01-01,tt0298203,7.2,334484.0,Unknown
Paradise Now,movie,Crime,2005-01-01,tt0445620,7.4,24430.0,Unknown
Paradise Now,movie, Drama,2005-01-01,tt0445620,7.4,24430.0,Unknown
Paradise Now,movie, Thriller,2005-01-01,tt0445620,7.4,24430.0,Unknown
Million Dollar Baby,movie,Drama,2004-01-01,tt0405159,8.1,740852.0,Unknown
Million Dollar Baby,movie, Sport,2004-01-01,tt0405159,8.1,740852.0,Unknown
American History X,movie,Crime,1998-01-01,tt0120586,8.5,1221781.0,Unknown
American History X,movie, Drama,1998-01-01,tt0120586,8.5,1221781.0,Unknown
Mars Attacks!,movie,Comedy,1996-01-01,tt0116996,6.4,250590.0,Unknown
Mars Attacks!,movie, Sci-Fi,1996-01-01,tt0116996,6.4,250590.0,Unknown
Before Sunrise,movie,Drama,1995-01-01,tt0112471,8.1,354783.0,Unknown
Before Sunrise,movie, Romance,1995-01-01,tt0112471,8.1,354783.0,Unknown
Memento,movie,Mystery,2000-01-01,tt0209144,8.4,1366070.0,Unknown
Memento,movie, Thriller,2000-01-01,tt0209144,8.4,1366070.0,Unknown
Hero,movie,Action,2002-01-01,tt0299977,7.9,190079.0,Unknown
Hero,movie, Adventure,2002-01-01,tt0299977,7.9,190079.0,Unknown
Hero,movie, Drama,2002-01-01,tt0299977,7.9,190079.0,Unknown
Before Sunset,movie,Drama,2004-01-01,tt0381681,8.1,299073.0,Unknown
Before Sunset,movie, Romance,2004-01-01,tt0381681,8.1,299073.0,Unknown
Nausicaä of the Valley of the Wind,movie,Adventure,1984-01-01,tt0087544,8.0,188922.0,Unknown
Nausicaä of the Valley of the Wind,movie, Animation,1984-01-01,tt0087544,8.0,188922.0,Unknown
